Country code,Year,cereal_yield_(kg_per_hectare),"co2_emissions,_total_(ktco2)",co2_emissions_per_capita_(metric_tons),"co2_emissions_per_units_of_gdp_(kg/$1,000_of_2005_ppp_$)",energy_use_per_capita_(kilograms_of_oil_equivalent),"energy_use_per_units_of_gdp_(kg_oil_eq./$1,000_of_2005_ppp_$)","foreign_direct_investment,_net_inflows_(%_of_gdp)",gdp_($),gni_per_capita_(atlas_$),nationally_terrestrial_protected_areas_(%_of_total_land_area),population,population_growth_(annual_%),population_in_urban_agglomerations_>1million_(%),ratio_of_girls_to_boys_in_primary_&_secondary_school_(%),"under-five_mortality_rate_(per_1,000)",urban_population,urban_population_growth_(annual_%)
KWT,1999,2258.8,53314.513,28.7066686337676,749.766159351695,9749.4536179671,254.638059475914,0.23993263458753,30120888963.6806,17730.0,1.58637195821,1857217.0,5.16692245288922,77.0791996842588,101.445,12.9,1823415.6506,5.18729527561426
KWT,2000,2323.7,59112.04,30.4577835990161,794.021254633597,9689.59741053367,252.60361666812,0.0432149886271092,37718011468.5749,18950.0,1.58637195821,1940786.0,4.40139149751914,77.2493721615881,102.868,12.6,1905851.852,4.42176017057053
KWT,2001,2016.2,55144.346,27.440622654992,735.364286749952,9985.80007444312,267.603284433293,-0.319615395634,34890773740.2178,19600.0,1.58637195821,2009588.0,3.48366802749012,78.1237746244504,103.993,12.3,1973817.3336,3.50403255255794
KWT,2002,2424.7,52727.793,25.4746281795097,682.659145645114,9971.53466781588,267.213295092452,0.00949018279355327,38138801497.2458,19570.0,1.58637195821,2069816.0,2.95299885012029,79.433485875073,102.949,12.0,2033387.2384,2.97335922889368
KWT,2003,2647.4,61653.271,28.988939648841,680.375063468682,10344.7761081745,242.793554591084,-0.140178224790385,47875837662.1539,22970.0,1.58637195821,2126786.0,2.71522055294488,80.9574635153701,103.256,11.9,2089779.9236,2.73557678711188
KWT,2004,2508.8,69529.987,31.7563203219022,696.278233107671,10719.053110663,235.022297445848,0.039960909368395,59440511981.7576,28240.0,1.58637195821,2189485.0,2.90544363896664,82.3590479039592,103.742,11.8,2151825.858,2.92579573021423
KWT,2005,2753.0,77216.019,34.1058045577457,699.138068716295,11660.1580202243,239.022666812738,0.28949264612385,80797945205.4795,34650.0,1.58637195821,2264014.0,3.34729877107478,83.4049612767412,101.888,11.7,2225525.762,3.36764672108904
KWT,2006,3025.0,71950.207,30.5983467159074,619.258321577375,10963.5793541067,221.884136824127,0.119440939506831,101561153806.389,41230.0,1.58637195821,2351441.0,3.78889876529464,84.0216701163244,102.133,11.6,2311936.7912,3.8092425757605
KWT,2007,3313.7,73002.636,29.8235555094374,601.9912503312061,10780.602152611,217.607460221165,0.0972227249305517,114721830985.916,47790.0,1.58637195821,2447818.0,4.01686837606733,84.2942571710805,99.896,11.5,2407184.2212,4.03720804866871
LAC,1991,2175.36102481972,1001061.664,2.25221451612589,315.895410286961,1054.586253872,143.84470174722,1.07923828106757,1186365282009.18,2481.67223595346,11.1831768765301,444478825.987659,1.81302823768905,31.9263754627413,99.1613950228841,52.3704872311,316655780.469074,2.48671047146712
